id,hts_8digit,material_type,chapter_99_claim,chapter_99_disclaim,duty_rate,country_code,article_type,effective_start,effective_end,source_doc,source_doc_id,created_at,created_by
86,73011000,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528168,populate_tariff_tables.py v13.0
87,73024000,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528169,populate_tariff_tables.py v13.0
88,73024000,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528169,populate_tariff_tables.py v13.0
89,73170030,steel,9903.81.89,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528169,populate_tariff_tables.py v13.0
90,73170030,steel,9903.81.89,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528170,populate_tariff_tables.py v13.0
91,73170055,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528170,populate_tariff_tables.py v13.0
92,73170055,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528170,populate_tariff_tables.py v13.0
93,73170065,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528171,populate_tariff_tables.py v13.0
94,73170065,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528171,populate_tariff_tables.py v13.0
95,87081030,steel,9903.81.91,9903.80.02,0.2500,,content,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528172,populate_tariff_tables.py v13.0
96,87081030,steel,9903.81.91,9903.80.02,0.5000,,content,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528172,populate_tariff_tables.py v13.0
97,87082921,steel,9903.81.91,9903.80.02,0.2500,,content,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528172,populate_tariff_tables.py v13.0
98,87082921,steel,9903.81.91,9903.80.02,0.5000,,content,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528173,populate_tariff_tables.py v13.0
99,73012010,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528173,populate_tariff_tables.py v13.0
100,73012010,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528173,populate_tariff_tables.py v13.0
101,73012050,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528174,populate_tariff_tables.py v13.0
102,73012050,steel,9903.81.90,9903.80.02,0.5000,,derivative,2025-03-12,,Proclamation 10896 (90 FR 40326),,2026-01-20T02:41:01.528174,populate_tariff_tables.py v13.0
103,73023000,steel,9903.81.90,9903.80.02,0.2500,,derivative,2018-03-23,2025-03-11,Proclamation 9705 (83 FR 11625),,2026-01-20T02:41:01.528175,populate_tariff_tables.py v13.0
