hts_8digit,chapter_99_code,duty_rate,effective_start,effective_end,list_name,source,role
03025650,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03025911,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03025950,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027111,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027150,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027211,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027250,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027311,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027350,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
03027400,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
